Date, HomeTeam, AwayTeam, FTHG, FTAG, FTR, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
16/08/14, Arsenal, Crystal Palace, 2, 1, H, 0.637342513917, 0.298124816877, 0.064532669206,
16/08/14, Leicester, Everton, 2, 2, D, 0.271255722695, 0.377370830608, 0.351373446697,
16/08/14, Man United, Swansea, 1, 2, A, 0.599141474107, 0.31372728103, 0.0871312448625,
16/08/14, QPR, Hull, 0, 1, A, 0.34519690229, 0.370077442742, 0.284725654968,
16/08/14, Stoke, Aston Villa, 0, 1, A, 0.43717909997, 0.355934762912, 0.206886137119,
16/08/14, West Brom, Sunderland, 2, 2, D, 0.37520102927, 0.371341267289, 0.253457703442,
16/08/14, West Ham, Tottenham, 0, 1, A, 0.228141648386, 0.375274208712, 0.396584142902,
17/08/14, Liverpool, Southampton, 2, 1, H, 0.586623316303, 0.325406409661, 0.0879702740362,
17/08/14, Newcastle, Man City, 0, 2, A, 0.153082826144, 0.371262238687, 0.475654935168,
18/08/14, Burnley, Chelsea, 1, 3, A, 0.0967551040537, 0.320643061446, 0.5826018345,
23/08/14, Aston Villa, Newcastle, 0, 0, D, 0.335519842571, 0.378976713677, 0.285503443752,
23/08/14, Chelsea, Leicester, 2, 0, H, 0.65383360522, 0.29057096248, 0.0555954323002,
23/08/14, Crystal Palace, West Ham, 1, 3, A, 0.347818902842, 0.369299405155, 0.282881692003,
23/08/14, Everton, Arsenal, 2, 2, D, 0.306310759598, 0.37897511946, 0.314714120942,
23/08/14, Southampton, West Brom, 0, 0, D, 0.447499268792, 0.360631763674, 0.191868967534,
23/08/14, Swansea, Burnley, 1, 0, H, 0.506901041667, 0.341536458333, 0.1515625,
24/08/14, Hull, Stoke, 1, 1, D, 0.350163934426, 0.369344262295, 0.280491803279,
24/08/14, Sunderland, Man United, 1, 1, D, 0.172775601567, 0.364857302742, 0.462367095691,
24/08/14, Tottenham, QPR, 4, 0, H, 0.557914217287, 0.329849771391, 0.112236011322,
25/08/14, Man City, Liverpool, 3, 1, H, 0.431778425656, 0.379737609329, 0.188483965015,
30/08/14, Burnley, Man United, 0, 0, D, 0.140838023765, 0.343714821764, 0.515447154472,
30/08/14, Everton, Chelsea, 3, 6, A, 0.239216305894, 0.361984515721, 0.398799178385,
30/08/14, Man City, Stoke, 0, 1, A, 0.667785037377, 0.283124374595, 0.0490905880275,
30/08/14, Newcastle, Crystal Palace, 3, 3, D, 0.490956426418, 0.341600438476, 0.167443135106,
30/08/14, QPR, Sunderland, 1, 0, H, 0.351240348283, 0.366847379662, 0.281912272055,
30/08/14, Swansea, West Brom, 3, 0, H, 0.456227239621, 0.354843408594, 0.188929351784,
30/08/14, West Ham, Southampton, 1, 3, A, 0.311045071818, 0.373617302295, 0.315337625887,
31/08/14, Aston Villa, Hull, 2, 1, H, 0.387081185567, 0.356636597938, 0.256282216495,
31/08/14, Leicester, Arsenal, 1, 1, D, 0.185425685426, 0.356421356421, 0.458152958153,
31/08/14, Tottenham, Liverpool, 0, 3, A, 0.311008721409, 0.381438209643, 0.307553068948,
13/09/14, Arsenal, Man City, 2, 2, D, 0.281841933377, 0.383409536251, 0.334748530372,
13/09/14, Chelsea, Swansea, 4, 2, H, 0.617562340548, 0.307546703975, 0.0748909554769,
13/09/14, Crystal Palace, Burnley, 0, 0, D, 0.393050685368, 0.363404526618, 0.243544788014,
13/09/14, Liverpool, Aston Villa, 0, 1, A, 0.612452247419, 0.313907177111, 0.0736405754694,
13/09/14, Southampton, Newcastle, 4, 0, H, 0.466238401142, 0.352319771592, 0.181441827266,
13/09/14, Stoke, Leicester, 0, 1, A, 0.41066124746, 0.360325152415, 0.229013600125,
13/09/14, Sunderland, Tottenham, 2, 2, D, 0.23377033644, 0.374348444164, 0.391881219397,
13/09/14, West Brom, Everton, 0, 2, A, 0.243126598465, 0.373721227621, 0.383152173913,
